Aaron,Rodgers,QB,20.3,13.6
Brett,Hundley,QB,.67,.56
Joe,Callahan,QB,.54,.54
Ty,Montgomery,HB,.70,.489
Aaron,Ripkowski,HB,.64,.49
Joe,Kerridge,HB,.5,.5
Don,Jackson,HB,.5,.5
John,Crocket,HB,.5,.5
Jordy,Nelson,WR,11.55,6.95
Randall,Cobb,WR,12.75,6.25
Davante,Adams,WR,1.25,.95
Trevor,Davis,WR,.595,.426
Jeff,Janis,WR,.7,.69
Max,McCaffrey,WR,.465,.465
Richard,Rodgers,TE,.826,.7
Beau,Sauerland,TE,.465,.465
David,Bakhtiari,OL,6.17,-6.6
Lane,Taylor,OL,2.7,2.4
Corey,Linsley,OL,.74,.69
Bryan,Bulaga,OL,7.85,3
Jason,Spriggs,OL,1.1,-.9
Kyle,Murphy,OL,.57,.475
Lucas,Patrick,OL,.465,.465
Jacob,Flores,OL,.465,.465
Mike,Daniels,DL,10.4,3.2
Kenny,Clark,DL,2.1,-3.8
Letroy,Guion,DL,3.66,3.33
Brian,Price,DL,.54,.54
Christian,Ringo,DL,.54,.54
Dean,Lowry,DL,.635,.34
Clay,Matthews,ED,15.2,11.1
Kyler,Fackrell,ED,.75,.23
Reggie,Gilbert,ED,.465,.465
Jake,Ryan,LB,.73,.5
Blake,Martinez,LB,.635,.34
LaDarius,Gunter,CB,.615,.615
Damarious,Randall,CB,2.1,-1
Quinten,Rollins,CB,1,.53
Josh,Hawkins,CB,.54,.54
Herb,Waters,CB,.54,.54
Demetri,Goodson,CB,.715,.69
Makinton,Dorleant,CB,.54,.54
Kentrell,Brice,S,.54,.54
Morgan,Burnett,S,7,5.35
HaHa,Clinton-Dix,S,2.6,.778
Marvin,Evans,S,.54,.54
Jermaine,Whitehead,S,.465,.465
